PRIMEIRO_NOME;primeiro_sobrenome;segundo_sobrenome;PAIS;estado
Camila;Sousa;Martins;Portugal;Rio Grande do Sul
Gustavo;Oliveira;Martins;Argentina;Rio de Janeiro
Carlos;Silva;Sousa;Argentina;Rio Grande do Sul
Pedro;Costa;Almeida;Chile;Rio Grande do Sul
Pedro;Sousa;Pereira;Brasil;Pernambuco
Luísa;Lima;Costa;Chile;Ceará
Camila;Almeida;Pereira;Colômbia;São Paulo
Maria;Martins;Silva;Chile;Rio de Janeiro
Ricardo;Costa;Almeida;Chile;Rio de Janeiro
Maria;Oliveira;Ferreira;Portugal;Rio de Janeiro
Fernanda;Martins;Santos;Chile;Paraná
Gustavo;Almeida;Lima;Colômbia;Bahia
Ana;Silva;Oliveira;Portugal;Paraná
Ricardo;Costa;Silva;Argentina;Bahia
Ana;Silva;Santos;Chile;Ceará
Gustavo;Sousa;Martins;Portugal;Rio de Janeiro
Pedro;Ferreira;Oliveira;Chile;Bahia
Ana;Oliveira;Oliveira;Portugal;Pernambuco
Pedro;Almeida;Martins;Argentina;Pernambuco
Maria;Lima;Oliveira;Argentina;Minas Gerais
Gustavo;Silva;Costa;Brasil;Pernambuco
Carlos;Sousa;Pereira;Brasil;Bahia
João;Oliveira;Sousa;Portugal;Rio de Janeiro
Carlos;Santos;Ferreira;Portugal;Minas Gerais
João;Oliveira;Santos;Portugal;Minas Gerais
Fernanda;Sousa;Sousa;Colômbia;Paraná
Ricardo;Oliveira;Silva;Chile;Rio Grande do Sul
Pedro;Lima;Pereira;Colômbia;Bahia
Pedro;Santos;Almeida;Brasil;Rio de Janeiro
Luísa;Almeida;Almeida;Colômbia;Minas Gerais
Pedro;Ferreira;Almeida;Colômbia;São Paulo
Fernanda;Santos;Sousa;Chile;Rio Grande do Sul
João;Almeida;Oliveira;Portugal;São Paulo
Camila;Almeida;Lima;Brasil;Pernambuco
Carlos;Oliveira;Lima;Colômbia;São Paulo
Ricardo;Santos;Ferreira;Chile;Pernambuco
Camila;Martins;Sousa;Chile;Minas Gerais
Ricardo;Sousa;Ferreira;Colômbia;Rio de Janeiro
Maria;Costa;Pereira;Brasil;São Paulo
Carlos;Pereira;Ferreira;Portugal;Ceará
Pedro;Lima;Costa;Argentina;São Paulo
Fernanda;Almeida;Pereira;Argentina;Ceará
Luísa;Pereira;Ferreira;Argentina;Rio Grande do Sul
Pedro;Silva;Almeida;Portugal;São Paulo
Gustavo;Lima;Lima;Brasil;Paraná
Maria;Pereira;Oliveira;Brasil;Ceará
Luísa;Costa;Lima;Brasil;São Paulo
Maria;Silva;Oliveira;Portugal;Rio de Janeiro
Luísa;Pereira;Oliveira;Portugal;Minas Gerais
Gustavo;Almeida;Costa;Brasil;Pernambuco
Carlos;Pereira;Almeida;Chile;Minas Gerais
Luísa;Oliveira;Pereira;Brasil;São Paulo
Pedro;Pereira;Santos;Portugal;Rio Grande do Sul
Fernanda;Almeida;Lima;Portugal;Pernambuco
Camila;Silva;Pereira;Colômbia;São Paulo
Pedro;Lima;Almeida;Chile;Bahia
Pedro;Lima;Lima;Argentina;Rio Grande do Sul
João;Ferreira;Ferreira;Brasil;Paraná
Camila;Martins;Pereira;Portugal;Pernambuco
João;Oliveira;Almeida;Chile;São Paulo
Pedro;Costa;Ferreira;Chile;Minas Gerais
Camila;Oliveira;Pereira;Portugal;Paraná
Ricardo;Ferreira;Lima;Brasil;Minas Gerais
Ana;Martins;Lima;Portugal;Bahia
Fernanda;Costa;Oliveira;Argentina;São Paulo
Fernanda;Oliveira;Almeida;Brasil;Rio Grande do Sul
Carlos;Silva;Martins;Argentina;Paraná
Maria;Martins;Santos;Colômbia;São Paulo
Maria;Santos;Almeida;Argentina;Rio de Janeiro
Fernanda;Silva;Costa;Chile;Minas Gerais
João;Martins;Santos;Portugal;Rio de Janeiro
Ana;Sousa;Oliveira;Colômbia;Rio Grande do Sul
Camila;Oliveira;Oliveira;Brasil;Rio Grande do Sul
Fernanda;Lima;Martins;Chile;Bahia
Ana;Martins;Sousa;Chile;Paraná
Ricardo;Lima;Almeida;Argentina;Bahia
Pedro;Almeida;Lima;Colômbia;Minas Gerais
Gustavo;Sousa;Costa;Portugal;Rio de Janeiro
João;Silva;Costa;Portugal;Rio Grande do Sul
Ana;Almeida;Santos;Chile;Pernambuco
Carlos;Silva;Costa;Colômbia;Minas Gerais
Fernanda;Lima;Costa;Argentina;Rio de Janeiro
Luísa;Martins;Sousa;Argentina;Paraná
João;Pereira;Sousa;Argentina;Minas Gerais
Maria;Lima;Martins;Argentina;Rio de Janeiro
Luísa;Silva;Silva;Portugal;Rio de Janeiro
Luísa;Sousa;Pereira;Portugal;Paraná
Luísa;Silva;Lima;Argentina;São Paulo
Pedro;Pereira;Oliveira;Brasil;Rio Grande do Sul
Camila;Silva;Lima;Argentina;Rio Grande do Sul
Luísa;Santos;Pereira;Argentina;Pernambuco
Maria;Pereira;Silva;Argentina;Bahia
Camila;Pereira;Sousa;Colômbia;Bahia
Fernanda;Silva;Lima;Argentina;Bahia
Carlos;Sousa;Santos;Brasil;Paraná
Fernanda;Almeida;Sousa;Brasil;Paraná
Carlos;Silva;Sousa;Portugal;São Paulo
Pedro;Ferreira;Martins;Brasil;São Paulo
Camila;Sousa;Sousa;Argentina;Bahia
Pedro;Silva;Silva;Portugal;Bahia
Pedro;Almeida;Santos;Argentina;Rio Grande do Sul
Gustavo;Sousa;Martins;Brasil;Rio Grande do Sul
Camila;Santos;Martins;Chile;Minas Gerais
João;Lima;Lima;Colômbia;Rio de Janeiro
Pedro;Martins;Sousa;Colômbia;Bahia
Fernanda;Martins;Ferreira;Colômbia;Pernambuco
Camila;Almeida;Lima;Argentina;Rio de Janeiro
João;Santos;Sousa;Brasil;Bahia
Carlos;Sousa;Sousa;Brasil;Bahia
Ricardo;Lima;Santos;Argentina;Ceará
Ana;Martins;Costa;Colômbia;São Paulo
Maria;Martins;Almeida;Brasil;Paraná
João;Almeida;Silva;Portugal;Bahia
Carlos;Lima;Lima;Colômbia;Rio de Janeiro
Gustavo;Pereira;Lima;Colômbia;Bahia
Pedro;Santos;Almeida;Brasil;Pernambuco
Gustavo;Lima;Sousa;Colômbia;Pernambuco
Ana;Sousa;Costa;Colômbia;Rio de Janeiro
Maria;Sousa;Pereira;Chile;Minas Gerais
Luísa;Sousa;Almeida;Chile;São Paulo
Camila;Ferreira;Costa;Brasil;Pernambuco
Pedro;Almeida;Almeida;Chile;São Paulo
João;Almeida;Almeida;Portugal;São Paulo
Luísa;Oliveira;Almeida;Colômbia;Rio Grande do Sul
Maria;Ferreira;Sousa;Argentina;Bahia
Ricardo;Silva;Martins;Brasil;Rio de Janeiro
Ricardo;Santos;Costa;Portugal;Pernambuco
Luísa;Santos;Lima;Colômbia;Bahia
Carlos;Silva;Silva;Colômbia;São Paulo
Gustavo;Oliveira;Oliveira;Brasil;Minas Gerais
Carlos;Oliveira;Santos;Chile;Ceará
João;Silva;Ferreira;Brasil;Minas Gerais
Carlos;Lima;Almeida;Colômbia;Rio Grande do Sul
Carlos;Oliveira;Lima;Argentina;Bahia
Fernanda;Ferreira;Oliveira;Portugal;Paraná
João;Silva;Costa;Portugal;Ceará
Maria;Silva;Almeida;Colômbia;Bahia
Ricardo;Ferreira;Silva;Brasil;Bahia
Ricardo;Sousa;Martins;Colômbia;Pernambuco
Ana;Santos;Ferreira;Argentina;Rio Grande do Sul
Ricardo;Silva;Ferreira;Brasil;Pernambuco
Luísa;Santos;Oliveira;Chile;São Paulo
Camila;Oliveira;Almeida;Colômbia;Bahia
Carlos;Silva;Oliveira;Colômbia;Paraná
Maria;Costa;Lima;Chile;Pernambuco
Maria;Martins;Oliveira;Portugal;Rio Grande do Sul
Gustavo;Ferreira;Costa;Chile;Bahia
Maria;Oliveira;Santos;Brasil;Rio Grande do Sul
João;Silva;Pereira;Portugal;Minas Gerais
Ana;Martins;Costa;Argentina;Pernambuco
Ricardo;Sousa;Oliveira;Brasil;Pernambuco
Camila;Almeida;Sousa;Colômbia;Pernambuco
Ana;Oliveira;Lima;Colômbia;São Paulo
Maria;Ferreira;Lima;Argentina;Bahia
Ana;Sousa;Lima;Argentina;Rio Grande do Sul
Ricardo;Ferreira;Oliveira;Chile;Pernambuco
Pedro;Oliveira;Martins;Brasil;Pernambuco
Camila;Silva;Lima;Portugal;Paraná
Pedro;Oliveira;Almeida;Portugal;Rio de Janeiro
Pedro;Sousa;Ferreira;Portugal;São Paulo
Carlos;Martins;Silva;Brasil;Paraná
Maria;Sousa;Oliveira;Argentina;Rio Grande do Sul
João;Silva;Silva;Chile;Ceará
Fernanda;Lima;Silva;Colômbia;Bahia
Ricardo;Pereira;Almeida;Colômbia;Rio de Janeiro
Luísa;Pereira;Ferreira;Portugal;Rio de Janeiro
Ana;Almeida;Oliveira;Brasil;Ceará
Gustavo;Sousa;Costa;Brasil;Minas Gerais
Camila;Pereira;Sousa;Colômbia;Paraná
Ana;Oliveira;Silva;Colômbia;Minas Gerais
Luísa;Ferreira;Santos;Argentina;São Paulo
João;Santos;Santos;Argentina;Rio Grande do Sul
Pedro;Costa;Silva;Argentina;Paraná
Gustavo;Martins;Sousa;Colômbia;Rio de Janeiro
Ana;Ferreira;Sousa;Chile;Minas Gerais
João;Sousa;Martins;Portugal;Paraná
Gustavo;Santos;Sousa;Chile;São Paulo
Luísa;Almeida;Ferreira;Colômbia;São Paulo
Pedro;Lima;Ferreira;Argentina;Bahia
Maria;Silva;Costa;Portugal;Minas Gerais
Fernanda;Costa;Costa;Colômbia;Bahia
Maria;Santos;Martins;Colômbia;São Paulo
Luísa;Sousa;Almeida;Brasil;Bahia
Gustavo;Almeida;Martins;Colômbia;Pernambuco
Carlos;Almeida;Sousa;Chile;Bahia
João;Sousa;Ferreira;Portugal;Rio Grande do Sul
Ricardo;Almeida;Almeida;Portugal;Rio de Janeiro
Pedro;Oliveira;Pereira;Argentina;Ceará
Ricardo;Almeida;Pereira;Chile;Minas Gerais
Camila;Silva;Oliveira;Brasil;Bahia
João;Oliveira;Costa;Portugal;Paraná
João;Pereira;Oliveira;Chile;Bahia
Gustavo;Almeida;Ferreira;Portugal;Minas Gerais
Camila;Sousa;Lima;Brasil;Rio de Janeiro
Luísa;Santos;Oliveira;Chile;Rio de Janeiro
Luísa;Oliveira;Ferreira;Argentina;Rio de Janeiro
João;Oliveira;Santos;Chile;Minas Gerais
Carlos;Costa;Silva;Portugal;Rio de Janeiro
Fernanda;Pereira;Oliveira;Portugal;Bahia
Pedro;Pereira;Costa;Argentina;Bahia
Camila;Costa;Silva;Chile;Paraná
Maria;Pereira;Santos;Argentina;Pernambuco
Camila;Lima;Sousa;Brasil;Rio Grande do Sul
Camila;Oliveira;Pereira;Portugal;Paraná
Gustavo;Almeida;Martins;Colômbia;Rio Grande do Sul
Pedro;Pereira;Lima;Chile;Rio de Janeiro
Camila;Almeida;Almeida;Colômbia;Rio Grande do Sul
Luísa;Sousa;Costa;Colômbia;Rio de Janeiro
João;Martins;Oliveira;Colômbia;Rio de Janeiro
Carlos;Silva;Oliveira;Chile;Rio Grande do Sul
Ricardo;Martins;Pereira;Brasil;Pernambuco
Pedro;Santos;Santos;Colômbia;Pernambuco
Luísa;Costa;Martins;Argentina;Minas Gerais
Luísa;Ferreira;Pereira;Brasil;Pernambuco
Carlos;Silva;Pereira;Colômbia;São Paulo
Maria;Oliveira;Ferreira;Portugal;Ceará
Pedro;Santos;Silva;Argentina;Rio de Janeiro
Pedro;Lima;Almeida;Portugal;Minas Gerais
Gustavo;Costa;Sousa;Portugal;Ceará
Carlos;Almeida;Silva;Argentina;Pernambuco
Gustavo;Pereira;Ferreira;Brasil;Ceará
Carlos;Ferreira;Almeida;Chile;São Paulo
Ricardo;Martins;Silva;Brasil;Minas Gerais
Gustavo;Costa;Santos;Portugal;Rio Grande do Sul
Carlos;Costa;Lima;Brasil;Ceará
Ricardo;Costa;Martins;Portugal;Bahia
Ricardo;Silva;Costa;Argentina;São Paulo
João;Santos;Costa;Argentina;Minas Gerais
Fernanda;Sousa;Sousa;Brasil;Ceará
Luísa;Sousa;Martins;Brasil;Pernambuco
Maria;Sousa;Santos;Argentina;Minas Gerais
João;Santos;Ferreira;Colômbia;Rio Grande do Sul
Carlos;Almeida;Oliveira;Brasil;São Paulo
Maria;Sousa;Pereira;Portugal;Rio de Janeiro
Maria;Almeida;Ferreira;Portugal;Ceará
Ricardo;Sousa;Silva;Chile;Minas Gerais
Gustavo;Almeida;Costa;Brasil;Ceará
João;Ferreira;Santos;Argentina;Pernambuco
Ricardo;Silva;Costa;Argentina;Rio de Janeiro
Gustavo;Costa;Ferreira;Portugal;Ceará
Luísa;Sousa;Santos;Portugal;Rio de Janeiro
Ana;Silva;Santos;Portugal;Minas Gerais
Maria;Martins;Santos;Portugal;Bahia
Camila;Santos;Sousa;Argentina;Minas Gerais
Gustavo;Sousa;Lima;Portugal;Minas Gerais
Maria;Sousa;Costa;Colômbia;Minas Gerais
Gustavo;Oliveira;Oliveira;Colômbia;Bahia
Ricardo;Costa;Ferreira;Argentina;Pernambuco
João;Lima;Martins;Portugal;Paraná
Ricardo;Silva;Pereira;Argentina;Minas Gerais
Luísa;Oliveira;Silva;Brasil;Rio de Janeiro
Luísa;Oliveira;Pereira;Colômbia;Pernambuco
Ana;Santos;Ferreira;Argentina;São Paulo
Carlos;Costa;Almeida;Portugal;Paraná
Ricardo;Pereira;Lima;Chile;São Paulo
Ricardo;Pereira;Almeida;Portugal;Ceará
Camila;Oliveira;Pereira;Portugal;Pernambuco
Pedro;Almeida;Martins;Chile;Ceará
João;Pereira;Costa;Brasil;Paraná
Ricardo;Silva;Martins;Argentina;Bahia
Ricardo;Pereira;Costa;Portugal;Bahia
Gustavo;Silva;Lima;Colômbia;Paraná
João;Almeida;Silva;Argentina;Ceará
Fernanda;Ferreira;Almeida;Brasil;São Paulo
Luísa;Costa;Lima;Argentina;Bahia
Ricardo;Ferreira;Silva;Portugal;Rio Grande do Sul
Carlos;Silva;Almeida;Brasil;Rio de Janeiro
Pedro;Santos;Sousa;Argentina;Paraná
Carlos;Santos;Silva;Argentina;Rio de Janeiro
Ana;Sousa;Martins;Argentina;São Paulo
Camila;Silva;Ferreira;Chile;Paraná
Luísa;Martins;Oliveira;Brasil;Rio de Janeiro
Camila;Sousa;Martins;Portugal;Ceará
João;Santos;Oliveira;Chile;Rio Grande do Sul
Luísa;Sousa;Ferreira;Chile;Minas Gerais
João;Oliveira;Lima;Argentina;Rio de Janeiro
Gustavo;Pereira;Almeida;Brasil;Pernambuco
Luísa;Almeida;Martins;Chile;Ceará
Maria;Santos;Silva;Portugal;Pernambuco
Ricardo;Almeida;Almeida;Brasil;Minas Gerais
Maria;Lima;Santos;Portugal;Pernambuco
Maria;Santos;Costa;Brasil;Paraná
Ana;Santos;Ferreira;Chile;Paraná
Ricardo;Silva;Almeida;Argentina;Pernambuco
Gustavo;Sousa;Martins;Colômbia;Bahia
Maria;Sousa;Ferreira;Colômbia;Minas Gerais
Camila;Almeida;Santos;Portugal;Minas Gerais
João;Lima;Santos;Chile;Minas Gerais
Maria;Ferreira;Silva;Colômbia;Rio Grande do Sul
Luísa;Pereira;Martins;Colômbia;Pernambuco
Ana;Santos;Almeida;Argentina;Bahia
Camila;Silva;Ferreira;Colômbia;Ceará
Gustavo;Oliveira;Ferreira;Argentina;Rio de Janeiro
Ana;Costa;Santos;Argentina;São Paulo
Ricardo;Sousa;Pereira;Argentina;São Paulo
João;Pereira;Silva;Portugal;Pernambuco
Maria;Costa;Ferreira;Portugal;Rio Grande do Sul
Maria;Oliveira;Pereira;Brasil;Minas Gerais
Luísa;Costa;Oliveira;Brasil;Pernambuco
Carlos;Pereira;Lima;Chile;São Paulo
João;Costa;Sousa;Argentina;Pernambuco
Maria;Sousa;Almeida;Brasil;Rio de Janeiro
Luísa;Lima;Sousa;Portugal;Rio de Janeiro
Ana;Sousa;Lima;Portugal;Paraná
Camila;Santos;Ferreira;Argentina;Ceará
Maria;Costa;Pereira;Brasil;São Paulo
Gustavo;Pereira;Martins;Brasil;Minas Gerais
Gustavo;Lima;Silva;Portugal;Paraná
João;Martins;Oliveira;Brasil;Rio Grande do Sul
Maria;Almeida;Sousa;Brasil;Rio Grande do Sul
Ana;Costa;Costa;Chile;Pernambuco
Ana;Pereira;Oliveira;Portugal;Minas Gerais
Ricardo;Costa;Sousa;Chile;São Paulo
Maria;Lima;Ferreira;Chile;Pernambuco
Carlos;Oliveira;Silva;Colômbia;Ceará
Gustavo;Sousa;Santos;Portugal;Pernambuco
Gustavo;Martins;Martins;Brasil;Ceará
Pedro;Pereira;Costa;Colômbia;Minas Gerais
Luísa;Almeida;Lima;Colômbia;Minas Gerais
Ricardo;Sousa;Pereira;Argentina;Ceará
João;Silva;Martins;Argentina;Minas Gerais
Luísa;Costa;Sousa;Brasil;Rio Grande do Sul
Carlos;Silva;Silva;Colômbia;Minas Gerais
Carlos;Santos;Ferreira;Chile;Bahia
Camila;Oliveira;Lima;Argentina;Ceará
João;Martins;Oliveira;Argentina;Rio Grande do Sul
Pedro;Silva;Lima;Chile;Ceará
Maria;Santos;Costa;Chile;Ceará
João;Almeida;Sousa;Chile;Bahia
Maria;Costa;Oliveira;Argentina;Ceará
Maria;Pereira;Oliveira;Chile;Rio de Janeiro
Luísa;Oliveira;Martins;Brasil;Minas Gerais
Carlos;Almeida;Almeida;Portugal;Bahia
Luísa;Martins;Oliveira;Argentina;Rio de Janeiro
Carlos;Lima;Almeida;Colômbia;Paraná
Pedro;Santos;Almeida;Colômbia;Minas Gerais
Camila;Santos;Pereira;Argentina;Rio Grande do Sul
Ana;Ferreira;Lima;Chile;Pernambuco
Luísa;Sousa;Lima;Colômbia;Bahia
Camila;Silva;Almeida;Chile;São Paulo
Pedro;Pereira;Silva;Chile;Rio de Janeiro
João;Oliveira;Ferreira;Brasil;Rio Grande do Sul
Luísa;Pereira;Oliveira;Argentina;Rio Grande do Sul
Pedro;Almeida;Santos;Colômbia;São Paulo
Luísa;Santos;Costa;Chile;Pernambuco
Pedro;Sousa;Oliveira;Colômbia;Paraná
Maria;Silva;Lima;Portugal;Bahia
Ricardo;Sousa;Oliveira;Colômbia;Ceará
João;Santos;Lima;Colômbia;Minas Gerais
Luísa;Santos;Lima;Colômbia;Rio de Janeiro
João;Almeida;Santos;Colômbia;Rio de Janeiro
Fernanda;Lima;Lima;Colômbia;Rio de Janeiro
Luísa;Costa;Ferreira;Chile;Bahia
Luísa;Lima;Almeida;Portugal;Rio de Janeiro
Pedro;Oliveira;Martins;Brasil;Rio Grande do Sul
Fernanda;Ferreira;Almeida;Portugal;Paraná
Camila;Pereira;Costa;Argentina;Rio de Janeiro
Ana;Lima;Ferreira;Portugal;Pernambuco
Ricardo;Costa;Martins;Portugal;Rio de Janeiro
Fernanda;Sousa;Sousa;Argentina;Bahia
Pedro;Ferreira;Silva;Colômbia;Ceará
Gustavo;Martins;Lima;Chile;Bahia
Pedro;Costa;Lima;Chile;Rio Grande do Sul
Gustavo;Lima;Costa;Brasil;São Paulo
Pedro;Pereira;Oliveira;Colômbia;Minas Gerais
Gustavo;Silva;Santos;Colômbia;Paraná
Ana;Costa;Silva;Portugal;Minas Gerais
Camila;Sousa;Silva;Colômbia;Rio de Janeiro
Ana;Pereira;Lima;Colômbia;Minas Gerais
Ricardo;Lima;Silva;Colômbia;Pernambuco
João;Costa;Almeida;Brasil;Minas Gerais
Luísa;Almeida;Almeida;Brasil;Rio Grande do Sul
João;Oliveira;Santos;Chile;Bahia
Pedro;Pereira;Silva;Chile;Minas Gerais
João;Costa;Silva;Argentina;Rio de Janeiro
Ricardo;Santos;Costa;Chile;Pernambuco
Gustavo;Costa;Pereira;Colômbia;Bahia
Maria;Santos;Ferreira;Chile;Minas Gerais
Luísa;Santos;Costa;Chile;Minas Gerais
Maria;Martins;Ferreira;Brasil;São Paulo
Gustavo;Pereira;Pereira;Colômbia;Bahia
Camila;Silva;Oliveira;Argentina;Ceará
Carlos;Martins;Ferreira;Brasil;Bahia
Gustavo;Sousa;Costa;Argentina;Bahia
Ricardo;Santos;Pereira;Brasil;Minas Gerais
João;Almeida;Silva;Colômbia;Bahia
Pedro;Pereira;Sousa;Brasil;Rio de Janeiro
Maria;Almeida;Santos;Argentina;Rio Grande do Sul
Fernanda;Ferreira;Oliveira;Portugal;Bahia
Gustavo;Oliveira;Oliveira;Chile;Rio de Janeiro
Fernanda;Ferreira;Martins;Portugal;Bahia
Luísa;Oliveira;Santos;Brasil;Bahia
Carlos;Lima;Lima;Colômbia;Pernambuco
Ricardo;Martins;Oliveira;Portugal;Paraná
João;Costa;Ferreira;Portugal;Paraná
Carlos;Silva;Sousa;Chile;Bahia
Fernanda;Costa;Almeida;Argentina;Bahia
Pedro;Ferreira;Pereira;Brasil;Rio de Janeiro
Ricardo;Oliveira;Ferreira;Chile;Rio Grande do Sul
Gustavo;Lima;Costa;Chile;São Paulo
Camila;Oliveira;Martins;Colômbia;Ceará
Maria;Silva;Martins;Brasil;Pernambuco
Maria;Silva;Lima;Chile;Paraná
Ana;Santos;Sousa;Argentina;Paraná
Ricardo;Lima;Ferreira;Argentina;Rio Grande do Sul
João;Costa;Lima;Portugal;Rio Grande do Sul
Ricardo;Almeida;Oliveira;Colômbia;São Paulo
Ana;Santos;Silva;Portugal;Paraná
Pedro;Martins;Santos;Argentina;Rio de Janeiro
João;Oliveira;Lima;Argentina;Minas Gerais
Carlos;Ferreira;Silva;Argentina;Pernambuco
Carlos;Sousa;Lima;Brasil;Paraná
Carlos;Silva;Oliveira;Colômbia;Rio Grande do Sul
Maria;Sousa;Sousa;Colômbia;Ceará
Fernanda;Oliveira;Sousa;Argentina;Pernambuco
Pedro;Almeida;Santos;Brasil;Ceará
Ana;Martins;Sousa;Argentina;Minas Gerais
Ricardo;Ferreira;Oliveira;Argentina;Rio de Janeiro
Pedro;Pereira;Almeida;Colômbia;Ceará
Ana;Almeida;Oliveira;Colômbia;Ceará
Carlos;Ferreira;Sousa;Portugal;Bahia
Camila;Santos;Silva;Chile;Pernambuco
Fernanda;Costa;Almeida;Colômbia;Rio Grande do Sul
Gustavo;Silva;Sousa;Brasil;São Paulo
João;Silva;Almeida;Argentina;Minas Gerais
Ana;Costa;Lima;Argentina;Ceará
Camila;Sousa;Sousa;Chile;Rio Grande do Sul
Maria;Oliveira;Martins;Portugal;Rio de Janeiro
Maria;Martins;Martins;Argentina;Rio Grande do Sul
João;Ferreira;Silva;Chile;Paraná
Fernanda;Oliveira;Costa;Chile;Pernambuco
Carlos;Oliveira;Silva;Brasil;São Paulo
Ana;Santos;Oliveira;Colômbia;Pernambuco
Carlos;Costa;Martins;Argentina;Bahia
Ricardo;Almeida;Pereira;Colômbia;Ceará
Fernanda;Sousa;Ferreira;Argentina;Pernambuco
Ricardo;Lima;Sousa;Chile;Ceará
Ana;Oliveira;Silva;Chile;Bahia
Camila;Almeida;Silva;Argentina;Bahia
Pedro;Sousa;Silva;Brasil;Minas Gerais
João;Silva;Pereira;Brasil;Bahia
Camila;Oliveira;Sousa;Portugal;Minas Gerais
João;Pereira;Oliveira;Colômbia;Rio Grande do Sul
Camila;Lima;Martins;Argentina;Rio Grande do Sul
Ricardo;Santos;Almeida;Colômbia;Rio de Janeiro
Gustavo;Costa;Oliveira;Colômbia;Pernambuco
Camila;Almeida;Pereira;Colômbia;Bahia
Ana;Pereira;Oliveira;Brasil;Rio de Janeiro
Luísa;Costa;Santos;Colômbia;Ceará
Camila;Almeida;Martins;Brasil;Rio Grande do Sul
Camila;Lima;Almeida;Chile;Minas Gerais
Fernanda;Lima;Sousa;Portugal;Rio de Janeiro
Pedro;Lima;Oliveira;Brasil;Bahia
João;Ferreira;Sousa;Portugal;Rio de Janeiro
João;Ferreira;Oliveira;Colômbia;São Paulo
Luísa;Martins;Martins;Portugal;São Paulo
Luísa;Silva;Costa;Brasil;Rio Grande do Sul
Ana;Oliveira;Sousa;Colômbia;Ceará
Pedro;Costa;Martins;Argentina;Bahia
Fernanda;Silva;Sousa;Colômbia;Pernambuco
João;Pereira;Oliveira;Argentina;Paraná
Fernanda;Sousa;Silva;Chile;Pernambuco
Camila;Almeida;Sousa;Argentina;Paraná
Carlos;Almeida;Oliveira;Argentina;Ceará
